depth,name,minDepth,maxDepth,prerequisite,energyDrain,materials,dropInterval,avgRuntime,notes
1,Surface Shaft,0,500,,2,"stone:8-12",30,750,Basic stone mining
2,Copper Vein,500,1000,depth_1,4,"copper:6-8;stone:4-6",30,375,Copper appears
3,Iron Seam,1000,1500,depth_2,8,"iron:5-7;copper:3-4",30,187,Iron mining
4,Deep Iron,1500,2000,depth_3,16,"iron:8-12",30,94,Rich iron deposits
5,Silver Pocket,2000,2500,depth_4,32,"silver:6-8;iron:4-6",30,47,Silver discovered
6,Silver Lode,2500,3000,depth_5,64,"silver:10-15",30,23,Rich silver
7,Crystal Cave,3000,3500,depth_6,128,"crystal:4-6;silver:3-5",30,12,Crystals found
8,Crystal Core,3500,4000,depth_7,256,"crystal:8-12",30,6,Pure crystals
9,Mythril Vein,4000,4500,depth_8,512,"mythril:3-5;crystal:2-3",30,3,Mythril appears
10,The Abyss,4500,5000,depth_9,1024,"obsidian:2-3;mythril:2-3",30,1.5,Deepest level
