id,name,vendor,category,prerequisite,goldCost,energyCost,materials,effect,description
# Agronomist - Energy Storage
storage_1,Storage Shed I,agronomist,energy,,20,10,,energy_cap_150,Energy cap 50→150
storage_2,Storage Shed II,agronomist,energy,storage_1,100,50,"stone:5",energy_cap_500,Energy cap 150→500
storage_3,Storage Shed III,agronomist,energy,"storage_2;homestead",500,200,"iron:10",energy_cap_1500,Energy cap 500→1500
storage_4,Storage Barn I,agronomist,energy,"storage_3;homestead",3000,1000,"silver:5",energy_cap_6000,Energy cap 1500→6000
storage_5,Storage Barn II,agronomist,energy,"storage_4;manor_grounds",20000,5000,"crystal:2",energy_cap_20000,Energy cap 6000→20000
storage_6,Storage Silo,agronomist,energy,"storage_5;great_estate",100000,25000,"mythril:1",energy_cap_100000,Energy cap 20000→100000
# Agronomist - Water Systems
pump_1,Well Pump I,agronomist,water,,30,20,"stone:3",pump_4,2→4 water/crank
pump_2,Well Pump II,agronomist,water,pump_1,150,100,"copper:5",pump_8,4→8 water/crank
pump_3,Well Pump III,agronomist,water,"pump_2;homestead",750,500,"iron:10",pump_15,8→15 water/crank
pump_4,Steam Pump,agronomist,water,"pump_3;homestead",4000,2500,"silver:3",pump_30,15→30 water/crank
pump_5,Crystal Pump,agronomist,water,"pump_4;manor_grounds",25000,12000,"crystal:3",pump_60,30→60 water/crank
tank_1,Water Tank I,agronomist,water,,25,15,"stone:5",water_cap_60,20→60 water cap
tank_2,Water Tank II,agronomist,water,tank_1,125,75,"copper:8",water_cap_200,60→200 water cap
tank_3,Water Tank III,agronomist,water,"tank_2;homestead",600,400,"iron:12",water_cap_600,200→600 water cap
tank_4,Reservoir,agronomist,water,"tank_3;homestead",3500,2000,"silver:5",water_cap_2000,600→2000 water cap
tank_5,Crystal Reservoir,agronomist,water,"tank_4;manor_grounds",22000,10000,"crystal:5",water_cap_10000,2000→10000 water cap
mulch_beds,Mulch Beds,agronomist,water,tank_2,300,150,"wood:50",water_retention_25,Plots retain water 25% longer
irrigation,Irrigation Channels,agronomist,water,"mulch_beds;homestead",1500,750,"wood:100;iron:5",water_retention_50,Plots retain water 50% longer
crystal_irrigation,Crystal Irrigation,agronomist,water,"irrigation;manor_grounds",8000,4000,"wood:200;crystal:3",water_retention_75,Plots retain water 75% longer
auto_pump_1,Auto-Pump I,agronomist,water,tank_2,200,100,"copper:5",offline_water_10,+10% water/hour offline
auto_pump_2,Auto-Pump II,agronomist,water,"auto_pump_1;tank_3",1000,500,"iron:10",offline_water_20,+20% water/hour offline
auto_pump_3,Auto-Pump III,agronomist,water,"auto_pump_2;tank_4",5000,2500,"silver:5",offline_water_35,+35% water/hour offline
crystal_auto_pump,Crystal Auto-Pump,agronomist,water,"auto_pump_3;tank_5",25000,12000,"crystal:3",offline_water_50,+50% water/hour offline
# Agronomist - Storage
seed_storage_1,Seed Storage I,agronomist,storage,,50,40,"stone:5",seed_cap_150,50→150 seed cap
seed_storage_2,Seed Storage II,agronomist,storage,seed_storage_1,250,200,"copper:10",seed_cap_500,150→500 seed cap
seed_vault,Seed Vault,agronomist,storage,"seed_storage_2;homestead",1500,1000,"iron:5",seed_cap_2000,500→2000 seed cap
material_crate_1,Material Crate I,agronomist,storage,,75,50,"wood:10",material_cap_50,Max 50 per material
material_crate_2,Material Crate II,agronomist,storage,material_crate_1,400,250,"wood:20;iron:5",material_cap_100,Max 100 per material
material_warehouse,Material Warehouse,agronomist,storage,"material_crate_2;homestead",2000,1000,"iron:10;silver:2",material_cap_250,Max 250 per material
material_depot,Material Depot,agronomist,storage,"material_warehouse;manor_grounds",10000,5000,"silver:5;crystal:2",material_cap_500,Max 500 per material
material_silo,Material Silo,agronomist,storage,"material_depot;great_estate",50000,20000,"crystal:3;mythril:1",material_cap_1000,Max 1000 per material
# Agronomist - Emergency Wood
wood_bundle_small,Wood Bundle (Small),agronomist,materials,,50,0,,wood_10,Emergency 10 wood
wood_bundle_medium,Wood Bundle (Medium),agronomist,materials,stage_2,200,0,,wood_50,Emergency 50 wood
wood_bundle_large,Wood Bundle (Large),agronomist,materials,stage_3,800,0,,wood_250,Emergency 250 wood
# Land Steward - Deeds
homestead_deed,Homestead Deed,land_steward,deeds,stage_2_complete,1500,250,,plots_40,Expand to 40 plots
manor_grounds_deed,Manor Grounds Deed,land_steward,deeds,stage_3_complete,6000,750,,plots_65,Expand to 65 plots
great_estate_deed,Great Estate Deed,land_steward,deeds,stage_4_complete,20000,1500,,plots_90,Expand to 90 plots
# Blacksmith - Forge Upgrades
bellows_1,Bellows I,blacksmith,forge,forge_built,80,60,"stone:8",heat_band_wide,Wider heat band
bellows_2,Bellows II,blacksmith,forge,bellows_1,400,300,"copper:10",heat_band_wider,Much wider heat band
auto_bellows,Auto-Bellows,blacksmith,forge,bellows_2,2000,1500,"iron:8",heat_auto,Auto maintains heat
furnace_1,Furnace Upgrade I,blacksmith,forge,forge_built,200,150,"stone:12",craft_speed_20,+20% craft speed
furnace_2,Furnace Upgrade II,blacksmith,forge,furnace_1,1000,750,"iron:15",craft_speed_40,+40% craft speed
crystal_furnace,Crystal Furnace,blacksmith,forge,"furnace_2;manor_grounds",10000,6000,"crystal:5",craft_speed_60,+60% craft speed
anvil_1,Anvil I,blacksmith,forge,forge_built,150,100,"copper:10",unlock_iron_recipes,Unlock iron recipes
anvil_2,Anvil II,blacksmith,forge,anvil_1,1500,1000,"silver:5",unlock_silver_recipes,Unlock silver recipes
mythril_anvil,Mythril Anvil,blacksmith,forge,"anvil_2;great_estate",15000,10000,"crystal:3",unlock_mythril_recipes,Unlock mythril recipes
batch_craft,Batch Craft,blacksmith,forge,anvil_1,500,0,,craft_batch_5,Craft 5 at once
master_craft,Master Craft,blacksmith,forge,"batch_craft;furnace_2",5000,0,,craft_proc_10,10% double output
# Carpenter - Tower
reach_2,Reach Level 2,carpenter,tower,tower_built,100,50,"wood:10",wind_breeze,Access Breeze band
reach_3,Reach Level 3,carpenter,tower,reach_2,500,200,"wood:15;copper:5",wind_gust,Access Gust band
reach_4,Reach Level 4,carpenter,tower,reach_3,2000,1000,"wood:20;iron:10",wind_gale,Access Gale band
reach_5,Reach Level 5,carpenter,tower,reach_4,10000,5000,"silver:5",wind_jet,Access Jet Stream
